id,SHA,command,environment,expected,exit,elapsed_ms,evidence_level,source_ledger
versions,172da62b63f70d406ffad69893851a01b042ffc4,"['bash', '-c', 'psql --version; redis-server --version; pgbackrest version; uname -a; date -u +%FT%TZ']",{},"Setup/control: command performs stated operation; interpret stdout and independent semantic checks, not exit alone.",0,17.188336,E3 LOCAL REAL BINARIES (not E4),ledger-committed-control.json
p9-init,172da62b63f70d406ffad69893851a01b042ffc4,"['initdb', '-D', '/tmp/a8dr-pg-2txtqj7h/source', '-A', 'trust', '--no-locale']",{},"Setup/control: command performs stated operation; interpret stdout and independent semantic checks, not exit alone.",0,358.597444,E3 LOCAL REAL BINARIES (not E4),ledger-committed-control.json
p9-start,172da62b63f70d406ffad69893851a01b042ffc4,"['pg_ctl', '-D', '/tmp/a8dr-pg-2txtqj7h/source', '-l', '/tmp/a8dr-pg-2txtqj7h/source.log', '-w', 'start']","{'PGBACKREST_CONFIG': '/tmp/a8dr-pg-2txtqj7h/pbr.conf', 'PGHOST': '/tmp/a8dr-pg-2txtqj7h/socket', 'PGPORT': '55448', 'PGUSER': 'user', 'PGDATABASE': 'payesh'}","Setup/control: command performs stated operation; interpret stdout and independent semantic checks, not exit alone.",0,110.692141,E3 LOCAL REAL BINARIES (not E4),ledger-committed-control.json
p9-create-db,172da62b63f70d406ffad69893851a01b042ffc4,"['psql', '-v', 'ON_ERROR_STOP=1', '-d', 'postgres', '-tAXc', 'CREATE DATABASE payesh']","{'PGBACKREST_CONFIG': '/tmp/a8dr-pg-2txtqj7h/pbr.conf', 'PGHOST': '/tmp/a8dr-pg-2txtqj7h/socket', 'PGPORT': '55448', 'PGUSER': 'user', 'PGDATABASE': 'payesh'}","Setup/control: command performs stated operation; interpret stdout and independent semantic checks, not exit alone.",0,25.405984,E3 LOCAL REAL BINARIES (not E4),ledger-committed-control.json
p9-seed,172da62b63f70d406ffad69893851a01b042ffc4,"['psql', '-v', 'ON_ERROR_STOP=1', '-d', 'payesh', '-tAXc', ""CREATE TABLE users(id int primary key, value text); INSERT INTO users SELECT i,'run9-'||i FROM generate_series(1,10)i;CREATE TABLE schools(id int primary key, value text); INSERT INTO schools SELECT i,'run9-'||i FROM generate_series(1,10)i;CREATE TABLE classes(id int primary key, value text); INSERT INTO classes SELECT i,'run9-'||i FROM generate_series(1,10)i;CREATE TABLE grades(id int primary key, value text); INSERT INTO grades SELECT i,'run9-'||i FROM generate_series(1,10)i;CREATE TABLE attendance(id int primary key, value text); INSERT INTO attendance SELECT i,'run9-'||i FROM generate_series(1,10)i""]","{'PGBACKREST_CONFIG': '/tmp/a8dr-pg-2txtqj7h/pbr.conf', 'PGHOST': '/tmp/a8dr-pg-2txtqj7h/socket', 'PGPORT': '55448', 'PGUSER': 'user', 'PGDATABASE': 'payesh'}","Setup/control: command performs stated operation; interpret stdout and independent semantic checks, not exit alone.",0,10.407272,E3 LOCAL REAL BINARIES (not E4),ledger-committed-control.json
p9-stanza,172da62b63f70d406ffad69893851a01b042ffc4,"['pgbackrest', '--stanza=payesh', 'stanza-create']","{'PGBACKREST_CONFIG': '/tmp/a8dr-pg-2txtqj7h/pbr.conf', 'PGHOST': '/tmp/a8dr-pg-2txtqj7h/socket', 'PGPORT': '55448', 'PGUSER': 'user', 'PGDATABASE': 'payesh'}","Setup/control: command performs stated operation; interpret stdout and independent semantic checks, not exit alone.",0,11.415067,E3 LOCAL REAL BINARIES (not E4),ledger-committed-control.json
p9-backup,172da62b63f70d406ffad69893851a01b042ffc4,"['pgbackrest', '--stanza=payesh', '--type=full', 'backup']","{'PGBACKREST_CONFIG': '/tmp/a8dr-pg-2txtqj7h/pbr.conf', 'PGHOST': '/tmp/a8dr-pg-2txtqj7h/socket', 'PGPORT': '55448', 'PGUSER': 'user', 'PGDATABASE': 'payesh'}","Setup/control: command performs stated operation; interpret stdout and independent semantic checks, not exit alone.",0,1542.327382,E3 LOCAL REAL BINARIES (not E4),ledger-committed-control.json
p9-info,172da62b63f70d406ffad69893851a01b042ffc4,"['pgbackrest', '--stanza=payesh', '--output=json', 'info']","{'PGBACKREST_CONFIG': '/tmp/a8dr-pg-2txtqj7h/pbr.conf', 'PGHOST': '/tmp/a8dr-pg-2txtqj7h/socket', 'PGPORT': '55448', 'PGUSER': 'user', 'PGDATABASE': 'payesh'}","Setup/control: command performs stated operation; interpret stdout and independent semantic checks, not exit alone.",0,5.966845,E3 LOCAL REAL BINARIES (not E4),ledger-committed-control.json
p9-commit-before-target,172da62b63f70d406ffad69893851a01b042ffc4,"['psql', '-v', 'ON_ERROR_STOP=1', '-d', 'payesh', '-tAXc', ""INSERT INTO users VALUES(11,'keep')""]","{'PGBACKREST_CONFIG': '/tmp/a8dr-pg-2txtqj7h/pbr.conf', 'PGHOST': '/tmp/a8dr-pg-2txtqj7h/socket', 'PGPORT': '55448', 'PGUSER': 'user', 'PGDATABASE': 'payesh'}","Setup/control: command performs stated operation; interpret stdout and independent semantic checks, not exit alone.",0,10.338004,E3 LOCAL REAL BINARIES (not E4),ledger-committed-control.json
p9-before-target,172da62b63f70d406ffad69893851a01b042ffc4,"['psql', '-v', 'ON_ERROR_STOP=1', '-d', 'payesh', '-tAXc', ""SELECT pg_create_restore_point('arena_target')""]","{'PGBACKREST_CONFIG': '/tmp/a8dr-pg-2txtqj7h/pbr.conf', 'PGHOST': '/tmp/a8dr-pg-2txtqj7h/socket', 'PGPORT': '55448', 'PGUSER': 'user', 'PGDATABASE': 'payesh'}","Setup/control: command performs stated operation; interpret stdout and independent semantic checks, not exit alone.",0,5.669035,E3 LOCAL REAL BINARIES (not E4),ledger-committed-control.json
