id,severity,status,file,lines,classification,finding,suggested_fix,evidence
B01,P1,REPRODUCED,tests/migration-009-live.js,62-65,real defect,Missing PG prerequisite -> explicit 0/0 skip -> exit0,Fail required run with nonzero status; optional mode must expose NOT-RUN and never satisfy release evidence,evidence/migration-no-deps.log
B02,P1,REPRODUCED (isolated exact callback),tests/smoke.js,33-60; 640-647,real defect,Missing fixture -> bare return -> wrapper increments PASS with zero assertions,Required fixture must exist; otherwise fail or propagate a separately counted skip; add per-case count guards,evidence/smoke-wrapper-probe.log
B03,P1,REPRODUCED (controlled gate fixture),tools/strict-verification-gate.js,28-40,real defect,Empty requirements registry can return green with no reviewed items,Require nonempty expected requirement IDs and independent current-SHA evidence for each item,evidence/empty-registry-gate.log
B04,P1,REPRODUCED (controlled gate fixture),tools/strict-verification-gate.js,23-26,real defect,Pattern-wide never-expiring allowlist also suppresses a new unapproved file,"Bind exceptions to file/line or content hash, owner/reason/expiry and replacement test",evidence/global-allowlist-gate.log
B05,P2,SOURCE-CONFIRMED,tests/report2.js,151-158,real defect,"Cleanup oracle is assert(true), not observable cleanup",Assert all created users/enrollments/classes removed; negative mutation should fail,source
B06,P1,SOURCE-REVIEWED; runtime claim not established,tests/infrastructure/phase6/persistence.test.js,20-30,certification blocker,Map-backed mock isPostgres=true cannot prove PostgreSQL/container restart durability,Keep unit/fixture label; require real PG + process kill/restart evidence before production claim,source
B07,P1,SOURCE-REVIEWED,tests/infrastructure/phase6/master-phase6-suite.test.js,40-41,certification blocker,Child exit0 is promoted to unconditional full production-grade proof,Aggregate evidence levels/prerequisites/actual checks; do not upgrade mocked children,source
B08,P1,SOURCE-REVIEWED,tools/test-discovery-verifier.sh,8-30,certification blocker,Discovered count does not equal execution: only three entrypoints invoked,Persist per-suite execution manifest; compare discovered runnable tests minus governed exclusions,source
B09,P1,SOURCE-REVIEWED,.github/workflows/strict-verification.yml,30-35,certification blocker,Production truth gate conditional on secret/environment; absent prerequisite skips it,Required release path must report NOT VERIFIED and fail; optional jobs must not satisfy required runtime proof,source
B10,P2,RUNTIME measured static contract,tests/ci-test-parity-contract.js,12; 31-35,certification blocker,486 unwired top-level JS exceeds declared budget485; budget is not full coverage,"Build graph-aware coverage ledger; wire required suites, do not merely raise budget",evidence/current-parity.log
B11-01,P1,SOURCE-REVIEWED,tests/api/decision-intelligence-command.test.js,114,certification blocker,Foreign-manager negative check omitted when fixture absent,Seed a second manager and require expected negative assertion count; missing fixture must fail,source
B11-02,P1,SOURCE-REVIEWED,tests/api/disaster-recovery-health.test.js,119,certification blocker,Foreign-manager negative check omitted when fixture absent,Seed a second manager and require expected negative assertion count; missing fixture must fail,source
B11-03,P1,SOURCE-REVIEWED,tests/api/event-processing-health.test.js,114,certification blocker,Foreign-manager negative check omitted when fixture absent,Seed a second manager and require expected negative assertion count; missing fixture must fail,source
B11-04,P1,SOURCE-REVIEWED,tests/api/feedback-learning-memory.test.js,112,certification blocker,Foreign-manager negative check omitted when fixture absent,Seed a second manager and require expected negative assertion count; missing fixture must fail,source
B11-05,P1,SOURCE-REVIEWED,tests/api/intelligence-certification.test.js,119,certification blocker,Foreign-manager negative check omitted when fixture absent,Seed a second manager and require expected negative assertion count; missing fixture must fail,source
B11-06,P1,SOURCE-REVIEWED,tests/api/intelligence-governance.test.js,112,certification blocker,Foreign-manager negative check omitted when fixture absent,Seed a second manager and require expected negative assertion count; missing fixture must fail,source
B11-07,P1,SOURCE-REVIEWED,tests/api/intelligence-platform.test.js,116,certification blocker,Foreign-manager negative check omitted when fixture absent,Seed a second manager and require expected negative assertion count; missing fixture must fail,source
B11-08,P1,SOURCE-REVIEWED,tests/api/longitudinal-intelligence.test.js,110,certification blocker,Foreign-manager negative check omitted when fixture absent,Seed a second manager and require expected negative assertion count; missing fixture must fail,source
B11-09,P1,SOURCE-REVIEWED,tests/api/observability-health.test.js,117,certification blocker,Foreign-manager negative check omitted when fixture absent,Seed a second manager and require expected negative assertion count; missing fixture must fail,source
B11-10,P1,SOURCE-REVIEWED,tests/api/operational-intelligence-execution.test.js,115,certification blocker,Foreign-manager negative check omitted when fixture absent,Seed a second manager and require expected negative assertion count; missing fixture must fail,source
B11-11,P1,SOURCE-REVIEWED,tests/api/outcome-evaluation-optimization.test.js,116,certification blocker,Foreign-manager negative check omitted when fixture absent,Seed a second manager and require expected negative assertion count; missing fixture must fail,source
B11-12,P1,SOURCE-REVIEWED,tests/api/phase4-certification.test.js,129,certification blocker,Foreign-manager negative check omitted when fixture absent,Seed a second manager and require expected negative assertion count; missing fixture must fail,source
B11-13,P1,SOURCE-REVIEWED,tests/api/pilot-deployment-health.test.js,116,certification blocker,Foreign-manager negative check omitted when fixture absent,Seed a second manager and require expected negative assertion count; missing fixture must fail,source
B11-14,P1,SOURCE-REVIEWED,tests/api/policy-simulation.test.js,112,certification blocker,Foreign-manager negative check omitted when fixture absent,Seed a second manager and require expected negative assertion count; missing fixture must fail,source
B11-15,P1,SOURCE-REVIEWED,tests/api/quality-governance.test.js,110,certification blocker,Foreign-manager negative check omitted when fixture absent,Seed a second manager and require expected negative assertion count; missing fixture must fail,source
B11-16,P1,SOURCE-REVIEWED,tests/api/recommendation-action-planning.test.js,111,certification blocker,Foreign-manager negative check omitted when fixture absent,Seed a second manager and require expected negative assertion count; missing fixture must fail,source
B11-17,P1,SOURCE-REVIEWED,tests/api/scalability-health.test.js,115,certification blocker,Foreign-manager negative check omitted when fixture absent,Seed a second manager and require expected negative assertion count; missing fixture must fail,source
B11-18,P1,SOURCE-REVIEWED,tests/api/security-health.test.js,116,certification blocker,Foreign-manager negative check omitted when fixture absent,Seed a second manager and require expected negative assertion count; missing fixture must fail,source
